Data Table for Weekly Case Trends - The United States,,,,,
Date generated: Sat Feb 25 2023 21:10:00 GMT-0800 (Pacific Standard Time),,,,,
Geography,Date,Weekly Cases,New Historic Cases,Weekly Deaths,New Historic Deaths
United States,Feb 22 2023,236131,31776,2407,0
United States,Feb 15 2023,259947,0,2838,62
United States,Feb  8 2023,284069,0,3151,299
United States,Feb  1 2023,287098,4507,3500,-17
United States,Jan 25 2023,302500,0,3783,0
United States,Jan 18 2023,316591,0,3694,0
United States,Jan 11 2023,455866,0,4448,0
United States,Jan  4 2023,479550,0,2801,0
United States,Dec 28 2022,401220,0,2509,0
United States,Dec 21 2022,496795,21397,3070,0
United States,Dec 14 2022,456086,0,2697,0
United States,Dec  7 2022,472586,0,2809,273
United States,Nov 30 2022,309367,0,1799,0
United States,Nov 23 2022,308354,0,2651,0
United States,Nov 16 2022,281593,0,2222,0
United States,Nov  9 2022,289931,0,2308,5
United States,Nov  2 2022,274100,0,2481,6
United States,Oct 26 2022,261990,0,2548,557
United States,Oct 19 2022,260433,0,2526,0
United States,Oct 12 2022,265703,0,2554,0
United States,Oct  5 2022,320239,0,3011,0
United States,Sep 28 2022,341794,0,2908,469
United States,Sep 21 2022,396977,0,3137,0
United States,Sep 14 2022,470399,0,3211,0
United States,Sep  7 2022,526157,0,2924,0
United States,Aug 31 2022,614701,0,3950,0
United States,Aug 24 2022,652095,0,3139,0
United States,Aug 17 2022,693244,0,3243,0
United States,Aug 10 2022,773232,0,3636,0
United States,Aug  3 2022,837146,0,3549,0
United States,Jul 27 2022,926667,0,3167,0
United States,Jul 20 2022,900833,0,2832,0
United States,Jul 13 2022,865483,0,2709,0
United States,Jul  6 2022,775048,0,2369,0
United States,Jun 29 2022,772224,0,2618,0
United States,Jun 22 2022,683331,0,2047,0
United States,Jun 15 2022,727429,0,2180,0
United States,Jun  8 2022,759518,0,2327,0
United States,Jun  1 2022,714639,0,2103,0
United States,May 25 2022,765827,0,2645,0
United States,May 18 2022,710799,0,2296,0
United States,May 11 2022,589618,0,2389,0
United States,May  4 2022,455936,0,2775,0
United States,Apr 27 2022,370002,0,2943,0
United States,Apr 20 2022,296775,0,3027,0
United States,Apr 13 2022,229024,0,3760,0
United States,Apr  6 2022,195818,0,3808,0
United States,Mar 30 2022,193735,0,4845,0
United States,Mar 23 2022,194223,0,5757,0
United States,Mar 16 2022,213213,0,8090,0
United States,Mar  9 2022,270653,0,9174,0
United States,Mar  2 2022,370823,0,10743,0
United States,Feb 23 2022,550965,0,12677,0
United States,Feb 16 2022,930212,0,15031,0
United States,Feb  9 2022,1495899,0,16195,0
United States,Feb  2 2022,2720437,0,17373,0
United States,Jan 26 2022,4433718,0,17044,0
United States,Jan 19 2022,5630737,0,14202,0
United States,Jan 12 2022,5487338,0,13112,0
United States,Jan  5 2022,4087911,0,9509,0
United States,Dec 29 2021,2104519,0,10005,0
United States,Dec 22 2021,1146240,0,11715,0
United States,Dec 15 2021,841661,0,9657,0
United States,Dec  8 2021,847014,0,8857,2442
United States,Dec  1 2021,613039,0,7316,0
United States,Nov 24 2021,672716,0,8093,0
United States,Nov 17 2021,614657,0,7423,0
United States,Nov 10 2021,535237,0,8271,0
United States,Nov  3 2021,502565,0,8508,0
United States,Oct 27 2021,503020,0,9538,0
United States,Oct 20 2021,532257,0,11883,0
United States,Oct 13 2021,619253,0,11182,0
United States,Oct  6 2021,704588,0,12623,0
United States,Sep 29 2021,799751,0,13938,0
United States,Sep 22 2021,921718,0,14369,0
United States,Sep 15 2021,1085323,0,13839,0
United States,Sep  8 2021,1068693,0,10946,0
United States,Sep  1 2021,1175511,0,10198,0
United States,Aug 25 2021,1009293,0,7852,0
United States,Aug 18 2021,999650,0,6135,0
United States,Aug 11 2021,901672,0,4870,0
United States,Aug  4 2021,670160,0,3036,0
United States,Jul 28 2021,453030,0,2360,0
United States,Jul 21 2021,287512,0,1969,0
United States,Jul 14 2021,178257,0,1899,0
United States,Jul  7 2021,109537,0,1690,0
United States,Jun 30 2021,93823,0,1907,0
United States,Jun 23 2021,82187,0,2035,0
United States,Jun 16 2021,87440,0,2332,0
United States,Jun  9 2021,100553,0,2763,0
United States,Jun  2 2021,113132,0,3702,0
United States,May 26 2021,162506,0,3973,0
United States,May 19 2021,210704,0,4076,0
United States,May 12 2021,255164,0,4368,0
United States,May  5 2021,327453,0,5041,0
United States,Apr 28 2021,370470,0,5019,0
United States,Apr 21 2021,446280,0,5056,0
United States,Apr 14 2021,496678,0,5277,0
