url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_35529955bfce4579af96c82bbcd6720e,,,,
주제,통검,,,,
범위,합계,,,,
Duration,주간 : 2020-02 ~ 2020-12,,,,
성별,"전체(여성,남성)",,,,
연령대,전체,,,,
Date,Aguesia,Anosmia,Chills,Cough,Eye Pain
2020-02-03,0.99018,0.25423,76.89562,45.61552,8.76895
2020-02-10,1.04817,0.16503,31.45851,26.90008,7.471
2020-02-17,1.23104,0.28545,86.19536,55.31222,8.34076
2020-02-24,1.30686,0.26761,100.0,75.03122,10.45495
2020-03-02,1.21766,0.24977,59.33095,43.41213,11.2355
2020-03-09,0.94112,0.18287,50.37466,36.62801,11.22212
2020-03-16,0.81177,0.19179,45.22747,32.23461,11.41837
2020-03-23,2.30151,0.60214,43.47011,26.58786,10.1338
2020-03-30,1.40053,0.41034,38.67528,23.56378,10.6066
2020-04-06,1.39161,0.38804,31.32024,19.44692,9.90633
2020-04-13,1.4942,0.31222,21.78412,16.81534,9.64317
2020-04-20,1.61462,0.23193,21.67707,14.77698,9.37109
2020-04-27,1.65031,0.29438,16.11507,13.05976,8.12221
2020-05-04,1.89562,0.33006,16.40499,13.67082,6.96699
2020-05-11,2.34165,0.28099,25.08474,16.40053,7.16324
2020-05-18,2.1231,0.19625,24.11685,16.97145,7.10972
2020-05-25,2.34165,0.09366,25.09366,18.16681,7.35504
2020-06-01,2.41748,0.14272,67.61819,16.17305,7.19892
2020-06-08,2.18554,0.12488,29.97323,14.95539,7.28367
2020-06-15,2.1008,0.15165,30.03568,14.23728,6.23104
2020-06-22,1.94023,0.13826,26.93131,12.89473,6.66815
2020-06-29,2.19446,0,30.78055,13.18911,6.85994
2020-07-06,1.99375,0.04906,26.37377,13.29616,6.3024
2020-07-13,1.71721,0.03568,29.51382,11.94915,6.00356
2020-07-20,2.02497,0.13826,23.48349,11.41837,6.03925
2020-07-27,1.85102,0.12488,18.81355,9.67885,6.10169
2020-08-03,1.2801,0.14719,15.45049,9.81266,5.99018
2020-08-10,1.78858,0.0892,16.82872,10.31222,5.78501
2020-08-17,2.99732,0.24085,28.68421,15.70472,7.26137
2020-08-24,4.07671,0.17841,29.95539,17.84121,8.0776
2020-08-31,2.86351,0.18287,26.29348,16.4719,6.91347
2020-09-07,2.80553,0.19625,24.77698,15.56199,6.53434
2020-09-14,2.69848,0.09366,26.3024,14.34433,6.52542
2020-09-21,2.37734,0.16057,28.22479,13.92952,6.61462
2020-09-28,2.44424,0.12488,20.31668,12.47546,6.08831
2020-10-05,2.55129,0.20963,29.62087,13.72435,6.73951
2020-10-12,2.43086,0.09366,28.88046,12.97056,5.97234
2020-10-19,2.39518,0.13826,23.6619,13.41659,6.07939
2020-10-26,2.61373,0.06244,22.59143,14.30419,5.73595
2020-11-02,2.78768,0.0892,22.02497,13.56378,6.44513
2020-11-09,2.97056,0,20.28545,13.3586,6.24442
2020-11-16,4.2239,0.08474,20.36128,14.89295,5.50401
2020-11-23,6.48082,0.20963,27.41748,14.85727,6.73951
2020-11-30,6.91347,0.08474,30.16949,14.97769,7.31489
2020-12-07,6.28902,0.30776,30.01784,15.91436,7.66726
2020-12-14,6.2578,0.14272,31.62801,15.08474,7.63157
2020-12-21,5.08474,0.08474,26.68153,13.15343,7.87243
