url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_b21a1f5a73f4d520116b13ea330056c7,,,,
주제,통검,,,,
범위,합계,,,,
Duration,주간 : 2020-02 ~ 2020-12,,,,
성별,"전체(여성,남성)",,,,
연령대,전체,,,,
Date,Fever,Headache,Nose congestion,Rhinorrhea,Shortness of breath
2020-02-03,19.59274,59.32042,13.93096,0,11.17457
2020-02-10,14.95737,50.62494,11.32356,0,8.50922
2020-02-17,22.14634,69.15404,14.41519,0,15.13947
2020-02-24,27.48944,100.0,20.05214,0,23.95083
2020-03-02,18.69464,77.01349,16.20312,0,14.93667
2020-03-09,18.06141,70.90886,13.8068,0,11.98162
2020-03-16,21.10752,72.22912,14.73801,0,13.05769
2020-03-23,22.17117,66.33556,13.59159,0,12.68934
2020-03-30,21.28548,63.04941,13.23565,0,11.38564
2020-04-06,19.67966,56.85787,11.99404,0,9.29144
2020-04-13,18.52081,50.55872,11.05454,0,8.30643
2020-04-20,18.77328,46.74695,10.82691,0,8.86516
2020-04-27,16.19071,43.10073,9.71773,0,8.54647
2020-05-04,17.11364,45.64605,9.10106,0,8.43473
2020-05-11,19.03815,54.66434,10.30543,0,9.44458
2020-05-18,19.17059,54.91681,9.65979,0,12.39549
2020-05-25,21.36826,56.31984,11.33184,0,10.9428
2020-06-01,19.72932,56.90754,12.5031,0,10.84761
2020-06-08,19.87004,53.77038,7.90083,0,10.12747
2020-06-15,18.30974,50.88568,6.94065,0,9.34525
2020-06-22,17.22953,48.51833,6.33639,0,8.6458
2020-06-29,14.8332,44.90522,8.68305,0,8.28573
2020-07-06,15.12292,45.87782,8.76169,0,7.16
2020-07-13,14.61385,45.15768,7.97119,0,6.4978
2020-07-20,15.01945,45.97715,6.89098,0,6.41089
2020-07-27,13.21496,43.04279,5.94321,0,5.36379
2020-08-03,12.5031,41.80531,5.64936,0,5.56659
2020-08-10,12.69762,41.13483,5.70317,0,5.69075
2020-08-17,16.78668,55.43829,8.07052,0,6.96548
2020-08-24,16.79496,62.46171,8.47611,0,8.83205
2020-08-31,16.22796,57.9505,9.39077,0,8.52164
2020-09-07,15.95066,51.98659,9.94536,0,8.75341
2020-09-14,15.45401,49.135,11.77468,0,8.45542
2020-09-21,15.41263,45.31081,11.6588,0,7.60284
2020-09-28,10.96763,38.31636,9.2335,0,5.74041
2020-10-05,14.14204,46.05165,11.79124,0,6.93651
2020-10-12,14.93253,41.16381,9.77154,0,7.59043
2020-10-19,14.65938,40.16223,10.39235,0,7.83875
2020-10-26,13.18185,40.96929,11.59258,0,6.89098
2020-11-02,12.89214,39.11927,11.94437,0,6.37778
2020-11-09,12.66865,40.58852,12.00645,0,7.24691
2020-11-16,13.30187,45.66261,10.17713,0,7.79736
2020-11-23,14.09237,46.20478,12.22167,0,7.18897
2020-11-30,14.21239,48.32381,13.16116,0,7.15172
2020-12-07,14.41933,53.3027,12.56518,0,7.44557
2020-12-14,14.32,52.97574,12.67279,0,7.89669
2020-12-21,11.7333,50.05794,10.98419,0,6.40675
